ndb_no,nrfi,long_name,manufacturer,serving_size,serving_size_uom,household_serving_size,household_serving_size_uom,energy_per_serving,energy_per_serving_uom
45037509,0.189575448632,"MEIJER, QUICK OATS","Meijer, Inc.",40.0,g,0.5,cup,150.0,kcal
45037512,0.180777981877,MIXED BERRY MULTIGRAIN OATMEAL,"Meijer, Inc.",70.0,g,1.0,cup,270.199981689,kcal
45037517,-0.356014430523,"MEIJER, TRUE GOODNESS, OLD FASHIONED OATS","Meijer, Inc.",40.0,g,0.5,cup,150.0,kcal
45037518,-0.253846168518,PRESERVES,"Meijer, Inc.",20.0,g,1.0,Tbsp,50.0,kcal
45037519,-0.745110630989,"MEIJER, TRUE GOODNESS, QUICK OATS","Meijer, Inc.",40.0,g,0.5,cup,150.0,kcal
45037524,-0.239022582769,"MEIJER, TRUE GOODNESS, ORGANIC INSTANT OATMEAL, MAPLE & BROWN SUGAR","Meijer, Inc.",54.0,g,1.0,cup,199.800003052,kcal
45037525,,ORGANIC INSTANT OATMEAL,"Meijer, Inc.",54.0,g,1.0,cup,199.800003052,kcal
45037526,-0.0337912738323,"MEIJER, INSTANT OATMEAL, S'MORES","Meijer, Inc.",42.0,g,1.0,PACKET,160.020004272,kcal
45037527,0.238296240568,"MEIJER, INSTANT OATMEAL, CINNAMON ROLL","Meijer, Inc.",43.0,g,1.0,PACKET,159.960006714,kcal
45037551,1.05671203136,"MEIJER, RICE SQUARES OVEN TOASTED RICE CEREAL","Meijer, Inc.",27.0,g,1.0,cup,99.9000015259,kcal
45037611,-0.0769881531596,"MEIJER, CONCORD GRAPE JELLY, GRAPE","Meijer, Inc.",20.0,g,1.0,Tbsp,50.0,kcal
45037612,-0.0394758395851,"MEIJER, RED RASPBERRY PRESERVES","Meijer, Inc.",20.0,g,1.0,Tbsp,50.0,kcal
45037618,0.0,"MEIJER, MARMALADE, ORANGE","Meijer, Inc.",20.0,g,1.0,Tbsp,50.0,kcal
45037627,0.338172763586,"MEIJER, FROSTED FLAKES CORN CEREAL","Meijer, Inc.",31.0,g,0.75,cup,119.969993591,kcal
45037639,0.699379146099,SWEETENED MULTI-GRAIN CEREAL,"Meijer, Inc.",33.0,g,1.0,cup,130.020004272,kcal
45037641,0.247999250889,"MEIJER, SWEETENED WHEAT PUFFS","Meijer, Inc.",27.0,g,0.75,cup,109.890007019,kcal
45037664,0.310868412256,CRACKLING SWEETENED RICE CEREAL,"Meijer, Inc.",29.0,g,0.75,cup,120.059997559,kcal
45037667,-0.0609001256526,"MARKETS OF MEIJER, DOUBLE CHOC CHIP MUFFINS","Meijer, Inc.",133.0,g,1.0,MUFFIN,469.489990234,kcal
45037677,-0.0147968316451,"MARKETS OF MEIJER, CREAM CHEESE MUFFINS","Meijer, Inc.",113.0,g,1.0,MUFFIN,459.91003418,kcal
45037686,0.0143163930625,"MARKETS OF MEIJER, LEMON POPPYSEED MINI MUFFINS","Meijer, Inc.",61.0,g,2.0,MUFFING,200.080001831,kcal
45037688,-0.317573577166,"MARKETS OF MEIJER, MUFFINS, APPLE SPICE","Meijer, Inc.",113.0,g,1.0,MUFFIN,420.360015869,kcal
45037696,-0.113255374134,"MARKETS OF MEIJER, BANANA NUT MUFFINS","Meijer, Inc.",113.0,g,1.0,MUFFIN,369.510009766,kcal
45037702,-0.344264060259,"MARKETS OF MEIJER, FRESH RAISIN BRAN MUFFINS","Meijer, Inc.",113.0,g,1.0,MUFFIN,439.570007324,kcal
45037826,0.148749157786,"MEIJER, RICE & VERMICELLI MIX WITH CHICKEN BROTH & SPICES, CHICKEN","Meijer, Inc.",70.0,g,0.330000013113,CUP DRY RISE-VERMICELLI MIX AND 1 TBSP DRY SEASONING MIX) (ABOUT 1 CUP COOKED)] | (ABOUT,240.100006104,kcal
45037904,-2.35294127464,"MEIJER, SQUEEZABLE CONCORD GRAPE JELLY, GRAPE","Meijer, Inc.",20.0,g,1.0,Tbsp,50.0,kcal
45037905,-0.337118864059,SQUEEZABLE STRAWBERRY SPREAD ,"Meijer, Inc.",20.0,g,1.0,Tbsp,50.0,kcal
45037906,-0.346985757351,"MEIJER, THREE FRUITS, LIGHT PRESERVES, BLUEBERRY, CHERRY & GRAPE","Meijer, Inc.",18.0,g,1.0,Tbsp,30.0599994659,kcal
45037907,-0.394141405821,"MEIJER, STRAWBERRY PRESERVES, STRAWBERRY","Meijer, Inc.",20.0,g,1.0,Tbsp,50.0,kcal
45037908,-0.365530312061,"MEIJER, THREE FRUITS, STRAWBERRY, BLACKBERRY &RASPBERRY LIGHT PRESERVES","Meijer, Inc.",18.0,g,1.0,Tbsp,30.0599994659,kcal
